x1;x2;x3;y;y2
44.26;65.01;3.97;361.18;76
77.08;70.94;3.06;1120.07;87
25.99;50.93;5.5;114.67;52
34.98;56.18;4.56;225.14;84
63.93;68.16;3.31;767.82;93
24.93;49.02;5.66;110.05;48
10.06;0.81;11.58;18.34;14
83.51;78.31;2.96;1316.17;84
28.45;51.94;5.21;149.25;54
26.32;44.76;5.45;120.94;56
79.75;72.79;3.02;1198.42;86
41.96;63.59;4.09;323.28;84
75.55;70.51;3.08;1076.15;86
13.15;0.99;11.6;31.35;21
51.09;66.12;3.7;389.76;70
44.22;62.18;3.97;361.53;82
32.54;56.97;4.77;192.72;61
84.8;73.29;2.95;1354.97;88
80.05;72.14;3.01;1208.71;84
27.29;50.94;5.32;133.26;48
64.05;70.03;3.32;771.91;61
96.12;75.16;2.82;1754.01;50
11.2;18.03;9.3;21.23;16
73.47;70.98;3.12;1014.94;82
54.21;67.68;3.59;556.32;79
27.53;50.93;5.32;137.52;54
54.67;77.17;3.58;565.02;75
46.82;66.26;3.85;402.58;93
99.1;73.97;2.8;1866.11;23
11.31;6.18;10.48;22.26;18
