;edad;hd;loc
1;4;6.5;PB
2;7;6.6;PB
3;3.2;6.3;PB
4;5;6.2;PB
5;6;6.8;PB
6;6;7.1;CA
7;7;7.1;PB
8;8;7.1;PB
9;8;7.3;CA
10;9;7.6;PB
11;4;7.8;PB
12;8;8.2;PB
13;5;8.4;CA
14;7;8.4;PB
15;6;8.5;CA
16;8;8.8;CA
17;10;9.1;PB
18;7;9.2;CA
19;9;9.3;PB
20;8;9.5;CA
21;10;9.6;PB
22;9;9.8;PB
23;7;10.1;CA
24;10;10.3;PB
25;4;11.1;CA
26;11;10.8;PB
27;12;10.8;PB
28;11;11.1;PB
29;9;11.2;PB
30;12;11.2;PB
31;10;11.4;PB
32;16;11.4;PB
33;13;11.5;PB
34;15;11.6;PB
35;8;11.9;CA
36;16;11.9;PB
37;10;12.3;CA
38;11;12.4;PB
39;12;12.4;CA
40;13;12.4;PB
41;9;12.6;CA
42;15;12.8;PB
43;14;13.1;PB
44;11;13.2;PB
45;15;13.2;PB
46;16;13.3;PB
47;17;13.3;PB
48;12;13.4;CA
49;18;13.4;PB
50;19;13.5;PB
51;14;13.6;PB
52;19;13.6;PB
53;11;13.9;CA
54;17;14;PB
55;10;14.1;CA
56;13;14.3;CA
57;18;14.3;PB
58;17;14.4;PB
59;16;14.5;PB
60;11;14.8;CA
61;15;15.1;CA
62;16;15.1;PB
63;20;15.1;PB
64;16;15.2;PB
65;21;15.2;PB
66;20;15.3;PB
67;11;15.4;CA
68;14;15.4;CA
69;23;15.4;PB
70;17;15.5;PB
71;15;15.6;CA
72;23;16.3;PB
73;17;16.4;CA
74;20;16.4;PB
75;21;16.4;PB
76;13;16.8;CA
77;23;16.8;PB
78;24;16.8;PB
79;14;17.1;CA
80;20;17.3;PB
81;21;17.3;PB
82;24;17.4;PB
83;18;17.5;PB
84;23;17.5;CA
85;25;18.2;PB
86;17;17.8;CA
87;17;18;CA
88;25;19.1;PB
89;21;18.5;PB
90;18;18.6;CA
91;24;18.6;PB
92;19;19.2;CA
93;20;19.6;CA
94;25;20.6;PB
95;21;20.6;CA
96;20;20.8;CA
97;24;20.9;CA
98;25;21.4;CA
99;21;21.9;CA
100;24;22.8;CA
101;25;23.1;CA
102;24;23.3;PB
103;26;16.7;PB
104;26;23.6;PB
105;28;18.2;PB
106;28;24.4;CA
